Level,Modality,Module,Description,Example
1,Listening/Speaking,Module 1: Describing,Listening: Can recognize familiar single words or fixed phrases in a teacher's oral description and respond by pointing to or naming the matching image. Speaking: Can produce single words or fixed phrases to label a familiar object when prompted.,"Shown a photo of a red bicycle, the student points to it when the teacher says ""red bike,"" and says ""red bike"" back when asked ""What is this?"""
1,Reading,Module 1: Describing,"Can decode an unfamiliar simple word or short adjective-noun phrase (e.g. sounding out ""big,"" ""red,"" ""hat"") using known letter-sound patterns, and match it to the object or image it describes, with visual support.","Given the printed word ""cat"" (never drilled as a sight word) next to pictures of a cat and a dog, the student sounds out /k/-/a/-/t/ and points to the cat."
1,Writing,Module 1: Describing,"Can spell a simple word from sound using known letter-sound patterns (e.g. ""hat,"" ""big,"" ""red"") to describe a familiar object, using a memorized adjective-noun frame (""big ___"").","Shown a picture of a big dog and given the frame ""big ___,"" the student sounds out and writes ""dog,"" rather than copying it from a word list."
1,Listening/Speaking,Module 2: Narrating,"Listening: Can listen to a short spoken sequence of events (3–4 steps) supported by non-verbal cues and identify or point to the correct order using single words. Speaking: Can retell a very short personal event using isolated words or short fixed phrases and gesture, with listener support.","The teacher tells a 3-step story (woke up, ate breakfast, went to school) with gestures and pictures; the student points to the pictures in order, then retells it: ""woke up… eat… school,"" using gestures."
1,Reading,Module 2: Narrating,"Can decode unfamiliar simple action/sequence words (e.g. ""ran,"" ""sat,"" ""left"") using known letter-sound patterns and match them to the correct step of a short personal event shown in sequence, with visual support.","Given three photos of a birthday party in mixed-up order and the unfamiliar word ""blew"" beside one, the student sounds it out and matches it to the photo of blowing out candles."
1,Writing,Module 2: Narrating,"Can spell simple action/sequence words from sound using known letter-sound patterns to name events in a short personal story, using memorized time-order chunks (""first,"" ""then"") as the frame around the spelled word.","Looking at 3 photos of their weekend (park, lunch, home), the student writes ""first"" under photo 1 and spells ""park"" from sound to caption it."
1,Listening/Speaking,Module 3: Explaining,"Listening: Can listen to a simple spoken cause-effect pair supported by visuals/demonstration and match cause to effect by pointing or selecting. Speaking: Can produce a single-word or fixed-phrase response naming a cause or effect when prompted (""Why?"" → one word/phrase answer).","Shown a picture of rain and a person opening an umbrella, the teacher asks ""Why?"" and the student says ""rain."""
1,Reading,Module 3: Explaining,"Can decode unfamiliar simple cause/effect words (e.g. ""wet,"" ""hot,"" ""fell"") using known letter-sound patterns and match a cause to its effect, with visual support.","Given a picture of ice cream melting in the sun and the unfamiliar word ""hot"" printed nearby, the student sounds it out and matches it to the melting/effect side of the pair."
1,Writing,Module 3: Explaining,"Can spell simple cause/effect words from sound using known letter-sound patterns to name a cause or effect in a simple process, using a memorized connector chunk (""because,"" ""so"") as the frame around the spelled word.","Given the frame ""___, so I put on a coat"" and a picture of someone bundled up outside, the student spells ""cold"" into the frame from sound."
1,Listening/Speaking,Module 4: Instructing,"Listening: Can listen to a simple spoken instruction supported by demonstration or visuals and carry out or point to the correct step (1–2 step commands). Speaking: Can produce a single-word or fixed-phrase instruction to direct a partner's simple physical action, with gesture support.","The teacher says ""Stand up"" with a gesture; the student stands, then later tells a partner ""Sit down,"" using the same fixed phrase."
1,Reading,Module 4: Instructing,"Can decode unfamiliar simple action words (e.g. ""cut,"" ""mix,"" ""stop"") using known letter-sound patterns and match them to the correct step of a simple instruction sequence, with visual support.","Given step pictures for washing hands and the unfamiliar word ""turn"" beside one step, the student sounds it out and points to the matching step (turning on the tap)."
1,Writing,Module 4: Instructing,"Can spell simple action words from sound using known letter-sound patterns to name the steps of a simple procedure, using memorized imperative-form chunks (""do this, then this"") as the frame around the spelled word.","Given picture steps for making a sandwich, the student spells ""cut"" from sound under the first step."
1,Listening/Speaking,Module 5: Evaluating,"Listening: Can listen to a simple spoken opinion supported by visuals or demonstration and identify whether it is positive or negative (point/select ""good""/""not good""). Speaking: Can produce a single-word or fixed-phrase opinion in response to a prompt (""How is it?"" → ""good""/""bad"").","Shown a picture of spoiled milk, the teacher says ""This is bad"" with a frown; the student points to ""not good,"" then says ""bad"" when asked ""How is it?"""
1,Reading,Module 5: Evaluating,"Can decode unfamiliar simple evaluative words (e.g. ""good,"" ""bad,"" ""fun"") using known letter-sound patterns and identify whether they express a positive or negative reaction, with visual support.","Given a photo of a messy room and the unfamiliar word ""bad"" printed beside it, the student sounds it out and selects the frowning-face rating."
1,Writing,Module 5: Evaluating,"Can spell simple evaluative words from sound using known letter-sound patterns to express a like/dislike or good/bad judgment, using a memorized evaluative frame (""I like ___, it's ___"") around the spelled word.","Given a photo of ice cream, the student spells ""good"" from sound to complete ""I like ice cream, it's good."""
1,Listening/Speaking,Module 6: Arguing,"Listening: Can listen to a simple spoken preference supported by visuals/demonstration and identify what is being preferred (point/select). Speaking: Can produce a single-word or fixed-phrase preference in response to a prompt (""Which one?"" → naming one item).","Shown a red shirt and a blue shirt, the teacher asks ""Which one?""; the student points to the red shirt and says ""red."""
1,Reading,Module 6: Arguing,"Can decode unfamiliar simple stance words (e.g. ""this,"" ""that,"" ""yes"") using known letter-sound patterns and identify which option is being preferred, with visual support.","Given two food pictures and the unfamiliar word ""that"" printed under one, the student sounds it out and points to the corresponding picture as the chosen option."
1,Writing,Module 6: Arguing,"Can spell a simple preferred item's name from sound using known letter-sound patterns to state a simple position, using the memorized frame (""I want ___"") around the spelled word.","Given two drink pictures, the student spells ""juice"" from sound to complete ""I want juice."""
1,Listening/Speaking,Module 7: Transacting,"Listening: Can listen to a simple spoken transactional exchange (e.g., ordering, buying) supported by visuals/realia and identify what is being requested or offered (point/select). Speaking: Can produce a single-word or fixed-phrase request in a simple transactional exchange, with gesture support.","Role-playing a snack stand with real objects, the teacher asks ""What do you want?""; the student points to an apple and says ""Apple, please."""
